country,country_code,independent,dependent,syllabi_count,reasoning,outlying_start_year,outlying_end_year,supporting_papers,supporting_syllabi
Vietnam,VNM,gdp_pc,education,2,Low-income countries are expected to have limited financial resources available for education and may struggle with ensuring access to education for all children. Vietnam is an outlier because its exceptual performance in educational and learning while having rapid gains in average years of schooling and impressive scores on international basements of learning at relatively low levels of per capita income. ,1949,2015,London 2021,"Yale (comparative politics reading list), UC San Diego"
Singapore,SGP,democracy,gdp_growth,2,"Autocratic countries are associated with lower economic growth. However, Singapore defied expectations as an authoritatian regime, which has managed to embrace free-market dynamics to achieve high levels of economic growth.",1965,2005,"Yeo et al. 2022, Siddiqui 2010","Yale (comparative politics reading list), UC San Diego"
Tanzania,TZA,ethnic_fractionalization,peace,1,"African countries with high ethnic fractionalization are associated with higher politicization of ethnicity (proxy for conflict). Tanzania has managed to depolicitize its ethnic groups, and achieve relative peace, thanks in part to past ""colonial administrative and economic approaches, and to a sustained
nation-building ethos"".",1992,2020,"Malipula 2014, Rwengabo 2016",Stanford
Colombia,COL,healthcare_spending_pc,disability_adjusted_life_years,1,Higher healthcare spending should lead to better outcomes; Colombia has significantly outperformed.,2000,2016,Mor 2022,NYU
Norway,NOR,natural_resources,liberal_immigration_policy,1,"Countries rich with natural resources will develop labor-heavy economies and thus have liberal immigration policies to get foreign workers. However, Norway is ""not a typical oil-rich democracy"": it's not autocratic, so it must ""respect policy negotiations between pro-immigration groups that used to benefit from labor-intensive industries and anti-immigration groups that strive to secure their new economic fortune"".",1970,2013,"Choi 2022, Rogerson 2006",Harvard
Portugal,PRT,business_ownership_rate,unemployment,1,"More enterpreneurship should lead to lower unemployment, given some time lag (businesses create jobs). Portugal is an outlier due to a lot of substinance micro-businesses, ""macroeconomic fluctuations associated with European business cycles and EU “cohesion” funding"", ""adjustment costs to new technology adoption which lead to productivity slowdowns"".",1984,2002,Baptista and Thurik 2007,URochester
Scandinavia,,NOT IN SYLLABI,,1,,,,-,Harvard
Malaysia,MAL,SKIP (couldn't find outlying characteristic),,0,,,,Ko 2007,-
South Korea,,NOT IN SYLLABI,,0,,,,Ko 2007,-
Taiwan,,NOT IN SYLLABI,,0,,,,Ko 2007,-
